"","student_1","student_2","student_3","student_4","student_5","student_6","student_7","student_8","student_9","student_10","student_11","student_12","student_13","student_14","student_15","student_16"
"project_1",8,1,10,6,10,4,8,2,1,1,10,8,7,2,6,10
"project_2",3,2,1,7,3,2,2,6,10,2,4,6,8,10,7,4
"project_3",7,3,9,1,9,9,3,1,4,9,7,1,4,6,1,1
"project_4",2,5,8,4,1,10,1,9,3,7,1,10,2,8,10,9
"project_5",10,4,6,8,2,1,10,5,7,3,2,4,9,4,4,5
"project_6",1,8,5,10,4,6,4,4,5,5,6,2,5,7,3,7
"project_7",9,6,4,5,8,5,5,8,2,4,5,7,10,3,2,3
"project_8",6,10,2,9,6,8,6,3,9,8,8,3,1,5,8,2
"project_9",4,7,3,3,7,7,9,7,8,10,9,9,3,9,9,8
"project_10",5,9,7,2,5,3,7,10,6,6,3,5,6,1,5,6
